번호,시설명,카테고리,주소,위도,경도,문제설명,ID
20,"관음사 봉안당","봉안시설","전북특별자치도 남원시 보절면 관음사길 82 관음사",35.4783309,127.4100659,"Address says "전북" but coordinates are in "전남"","65496378-bb34-4a79-a1a2-82a2cf0940fa"
21,"광대리공설공원묘지","공원묘지","경기도 여주시 세종대왕면 광대리 198-18",37.2531748673269,127.584756781458,"Address says "세종" but coordinates are in "경기"","7056db48-6336-41b9-a791-85602d5522a4"
22,"광주공원묘원","공원묘지","경기도 광주시",37.4293941934863,127.255138719721,"Address says "광주" but coordinates are in "경기"","97532371-7d19-4524-85ad-40230149e2d8"
23,"광주수목장","자연장","광주광역시 광산구 송학동 424-1",35.1118787169275,126.679090096465,"Address says "광주" but coordinates are in "전남"","ee1b5826-c5a6-4b73-a18b-8c1b081ffe22"
24,"교산1리공설묘지","공원묘지","인천광역시 강화군 양사면 교산리 산307",37.788729166113,126.394717477112,"Address says "인천" but coordinates are in "UNKNOWN"","9690f72d-e12d-470d-9236-260ecd186774"
25,"교산리공설묘지 별립산","공원묘지","인천광역시 강화군 양사면 교산리 산355-1",37.781517639325,126.38492949886,"Address says "인천" but coordinates are in "UNKNOWN"","81950f17-882d-483d-8402-9da530483a06"
26,"구암사 봉안당","봉안시설","대전 유성구 북유성대로487번길 130",36.4037025622494,127.296832075423,"Address says "대전" but coordinates are in "세종"","67155076-6b9b-41ce-9c8d-1a50791c9c7f"
27,"국립하늘숲추모원","자연장","경기도 양평군 양동면 양서동로 372",37.4580230420339,127.79736055,"Address says "경기" but coordinates are in "강원"","952cc881-d410-492b-af19-6ec994fecf54"
28,"국화리공설묘지","공원묘지","인천광역시 강화군 강화읍 국화리 산291",37.7368256518036,126.471396195047,"Address says "인천" but coordinates are in "경기"","d1697075-48be-4ada-a0f1-e853da2c4939"
29,"군위농협장례식장","장례식장","대구광역시 군위군 군위읍 중앙길 165-6",36.2425786177507,128.56706039482,"Address says "대구" but coordinates are in "경북"","1758bf6d-d3ff-4cfa-8164-7205ab78d8d0"
30,"군위삼성병원 장례식장","장례식장","대구 군위군 군위읍 중앙길 40",36.2325137509833,128.567327852939,"Address says "대구" but coordinates are in "경북"","75ca64b1-c902-4b68-8fc2-83179a594b19"
31,"금강추모공원","공원묘지","충북 옥천군 동이면 적하길 323-67",36.2816699741344,127.639688539033,"Address says "충북" but coordinates are in "충남"","a7eec5e7-83c7-4fca-b751-73433fe62b84"
32,"금화추모관","봉안시설","전북특별자치도 순창군 순창읍 담순로 951-65",35.3707828267922,127.107519732639,"Address says "전북" but coordinates are in "전남"","deceaacb-f231-4920-8912-330724b89a37"
33,"길정리공설묘지","공원묘지","인천광역시 강화군 양도면 길정리 산228-1",37.655860248764,126.46330062164,"Address says "인천" but coordinates are in "경기"","9be73053-eba0-431a-9e74-cdae42d2b62b"
34,"길직1리공설묘지","공원묘지","인천광역시 강화군 길상면 길직리 산247",37.6555840744113,126.476020160725,"Address says "인천" but coordinates are in "경기"","d1589255-42ef-4a4d-a078-a451d3c21515"
35,"길직2리공설묘지","공원묘지","인천광역시 강화군 길상면 길직리 1164-2",37.6503814133001,126.497348812276,"Address says "인천" but coordinates are in "경기"","3435b097-559f-4c3d-a4d9-a5ea197861a9"
36,"김주열열사추모공원","공원묘지","전북특별자치도 남원시 금지면 금지순환길 917-13",35.3573602561696,127.303629844654,"Address says "전북" but coordinates are in "전남"","8dc85645-cb40-48a3-9c3e-06c2febb4098"
37,"김화장례문화원","장례식장","강원특별자치도 철원군 서면 와수로 13",38.2264562224309,127.429155613656,"Address says "강원" but coordinates are in "경기"","de1c7cc9-370b-4084-99bd-d7e2f5dbf8f5"
38,"남산리공설묘지","공원묘지","인천광역시 강화군 강화읍 남산리 산50",37.737100917652,126.472467116428,"Address says "인천" but coordinates are in "경기"","3058ebc3-d6bb-4102-992d-c3bb177e1597"
39,"남원장례식장","장례식장","전북특별자치도 남원시 충정로 265-7",35.4257396310483,127.397149920262,"Address says "전북" but coordinates are in "전남"","10e9a76d-b4c4-419e-bddb-0db80e7e4dec"
40,"남한강공원묘원","공원묘지","경기도 여주시 가남읍 금곡리 373-4",37.1919026704725,127.619566080243,"Address says "경기" but coordinates are in "강원"","55d4624d-77cf-48e7-9539-a1059c7b026d"
41,"내리공설묘지","공원묘지","인천광역시 옹진군 영흥면 내리 산258",37.2647706354616,126.471258414308,"Address says "인천" but coordinates are in "경기"","f7c15a04-c5d4-4f08-91a1-bebeafd7c005"
42,"넙성리공동묘지","공원묘지","인천광역시 강화군 불은면 넙성리 산5",37.6725600976815,126.506950055345,"Address says "인천" but coordinates are in "경기"","e2a340ea-0358-4c4b-bbeb-664f431ac648"
43,"당산리공설묘지","공원묘지","인천광역시 강화군 송해면 당산리 산58",37.8064896498405,126.444399090928,"Address says "인천" but coordinates are in "경기"","2eb11ce6-634b-4578-a9c3-282a7f705f66"
44,"대구신세계수목장","자연장","대구광역시 군위군 효령면 녹동길 129-190",36.1398469975578,128.562118794897,"Address says "대구" but coordinates are in "경북"","cc8d9007-8d0a-4cde-a504-50a85f00f500"
45,"대지동공설묘지","공원묘지","광주광역시 남구 대지동 산55",37.6080429991688,126.956645093338,"Address says "광주" but coordinates are in "서울"","646088c6-ff71-4fb4-81cc-58eedec2f70d"
46,"대청리공설묘지","공원묘지","인천광역시 옹진군 대청면 대청리 산299",37.8072959296473,124.685586069533,"Address says "인천" but coordinates are in "UNKNOWN"","e67e2c30-0585-47d2-9abc-3854eaaa5819"
47,"대한적십자 상주병원 장례식장","장례식장","경북 상주시 상서문로 53",36.4144241590954,128.155164301272,"Address says "경북" but coordinates are in "충북"","26fad6d1-4164-459a-a69d-ebd30a308dfa"
48,"더포에버","반려동물","인천광역시 서구 설원로 79 1층 더포에버",37.6263842,126.6765082,"Address says "인천" but coordinates are in "경기"","f6a9fbab-f6ca-4210-a5eb-7a88c2cfa508"
49,"덕성리공동묘지","공원묘지","인천광역시 강화군 불은면 덕성리 산118",37.6496517321226,126.511486499142,"Address says "인천" but coordinates are in "경기"","84c2cfce-b1bc-4608-8c4a-11a5cb18c21a"
50,"덕포리공설묘지","공원묘지","인천광역시 강화군 화도면 덕포리 산83",37.6212197505005,126.443710673199,"Address says "인천" but coordinates are in "경기"","df4d05b8-87f8-4e86-a510-df1807c79e83"
51,"덕하1리공설묘지","공원묘지","인천광역시 강화군 양사면 덕하리 산304",37.8008924927393,126.429634809322,"Address says "인천" but coordinates are in "경기"","e0ad8ea4-906e-4e03-962a-12062e02fcde"
52,"덕하2리공설묘지","공원묘지","인천광역시 강화군 양사면 덕하리 산352",37.8045966429289,126.432318716957,"Address says "인천" but coordinates are in "경기"","30f2d40f-d011-4626-8920-95e89696c01f"
53,"도장리공설묘지","공원묘지","인천광역시 강화군 양도면 도장리 산121",37.6563055534604,126.443936528815,"Address says "인천" but coordinates are in "경기"","5cccbc8f-8ce2-400e-9e1c-0e2a2a64a7d7"
54,"동산리공설묘지","공원묘지","인천광역시 강화군 교동면 동산리 산5",37.7656628375873,126.256021896037,"Address says "인천" but coordinates are in "UNKNOWN"","bf1556cf-7dd0-411a-9321-0ce175a16b5d"
55,"두운리공동묘지","공원묘지","인천광역시 강화군 불은면 두운리 산243",37.6792600317348,126.481395625397,"Address says "인천" but coordinates are in "경기"","52e57bdc-d87e-4886-8379-ee1a5e81a729"
56,"리틀포즈 반려동물 장례식장","반려동물","대구광역시 군위군 부계면 부흥로 118",36.106192717127,128.672364190188,"Address says "대구" but coordinates are in "경북"","2aff8e2d-7b2a-4734-a57f-4d481d3c0aa6"
57,"막벨라강화추모공원","공원묘지","인천 강화군 송해면 강화대로 879-16",37.7668531918838,126.447216455534,"Address says "인천" but coordinates are in "경기"","bb5534cb-729c-459b-85a5-0830efea0dad"
58,"말도공설묘지","공원묘지","인천광역시 강화군 서도면 말도리 산21",37.6826948973594,126.141846170302,"Address says "인천" but coordinates are in "UNKNOWN"","bc5f32a6-7820-4107-8cf1-0c1837c64417"
59,"망월리공설묘지","공원묘지","인천광역시 강화군 하점면 망월리 산44",37.7427701168095,126.396965785924,"Address says "인천" but coordinates are in "UNKNOWN"","eaa286dd-a187-4afe-bb05-8c62c403552f"
60,"매운이정희선생추모공원","공원묘지","경북 청도군 화양읍 유등리 산 188",35.6750003232165,128.697358523894,"Address says "경북" but coordinates are in "경남"","ed0778de-31cb-4e4b-9fa1-d019f3e0cd6b"
61,"매음리공설묘지","공원묘지","인천광역시 강화군 삼산면 매음리 산296",37.6878814494507,126.318225498334,"Address says "인천" but coordinates are in "UNKNOWN"","ab687669-c78c-45f8-982c-b8eba1e950ac"
62,"목련공원","공원묘지","강원특별자치도 철원군 서면 싸리골길 133 재단법인 목련공원",38.1630562114298,127.383174679387,"Address says "강원" but coordinates are in "경기"","44b24424-6d12-459c-bb78-82e25b4a785c"
63,"묘통사납골공원","봉안시설","경상남도 사천시 곤명면 세종태실로 106",35.1300052496372,127.921297963779,"Address says "세종" but coordinates are in "경남"","c2933f66-c6bb-4749-84ea-99419daef439"
